Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    17.8354,   161.74,    17.8354,    41.74,    17.8354,   -78.26,          0,     0.00, 3.47316E-009,  -138.23,    17.8354,   -18.26,    17.8354,  -138.26,    17.8354,   101.74,          0,     0.00, 3.47316E-009,    41.77
Vsource.MAINSOURCE,    17.8354,   161.74,    17.8354,    41.74,    17.8354,   -78.26,          0,     0.00, 3.47316E-009,  -138.23,    17.8354,   -18.26,    17.8354,  -138.26,    17.8354,   101.74,          0,     0.00, 3.47316E-009,    41.77
Transformer.SUB1A,    4.56283,   -11.91,    4.56283,  -131.91,    4.56283,   108.09, 8.90423E-010,  -131.92, 1.27898E-013,   180.00,    114.071,   168.09,    114.071,    48.09,    114.071,   -71.91, 2.22657E-008,    48.08, 2.27374E-013,     0.00
Transformer.SUB1B,    4.56283,   -11.91,    4.56283,  -131.91,    4.56283,   108.09, 8.90423E-010,  -131.92, 1.27898E-013,   180.00,    114.071,   168.09,    114.071,    48.09,    114.071,   -71.91, 2.22657E-008,    48.08, 2.27374E-013,     0.00
Transformer.SUB2A,    6.11471,   -19.11,    6.11471,  -139.11,    6.11471,   100.89, 1.1933E-009,  -139.11, 1.34065E-013,   122.01,    152.867,   160.89,    152.867,    40.89,    152.867,   -79.11, 2.98297E-008,    40.89, 6.82121E-013,   180.00
Transformer.SUB2B,    6.11471,   -19.11,    6.11471,  -139.11,    6.11471,   100.89, 1.1933E-009,  -139.11, 1.34065E-013,   122.01,    152.867,   160.89,    152.867,    40.89,    152.867,   -79.11, 2.98297E-008,    40.89, 6.82121E-013,   180.00
Transformer.SUB3A,    3.12284,   -22.37,    3.12284,  -142.37,    3.12284,    97.63, 6.09262E-010,  -142.33, 1.60777E-013,   -45.00,    78.0702,   157.64,    78.0702,    37.64,    78.0702,   -82.36, 1.52314E-008,    37.63, 1.36424E-012,     0.00
Transformer.SUB3B,    3.12284,   -22.37,    3.12284,  -142.37,    3.12284,    97.63, 6.09262E-010,  -142.33, 1.60777E-013,   -45.00,    78.0702,   157.64,    78.0702,    37.64,    78.0702,   -82.36, 1.52314E-008,    37.63, 1.36424E-012,     0.00
Transformer.SUB4A,     4.0809,   -21.09,     4.0809,  -141.09,     4.0809,    98.91, 7.9628E-010,  -141.09, 7.10543E-015,     0.00,    102.022,   158.91,    102.022,    38.91,    102.022,   -81.09, 1.99073E-008,    38.91, 3.64508E-012,    86.42
Transformer.SUB4B,     4.0809,   -21.09,     4.0809,  -141.09,     4.0809,    98.91, 7.9628E-010,  -141.09, 7.10543E-015,     0.00,    102.022,   158.91,    102.022,    38.91,    102.022,   -81.09, 1.99073E-008,    38.91, 3.64508E-012,    86.42
Line.SUB1_SUB2,    9.12566,   168.09,    9.12566,    48.09,    9.12566,   -71.91,          0,     0.00, 1.83549E-009,  -134.24,    9.12427,   -11.87,    9.12427,  -131.87,    9.12427,   108.13,          0,     0.00, 1.74149E-009,    45.92
Line.SUB2_SUB3,     21.312,   163.98,     21.312,    43.98,     21.312,   -76.02,          0,     0.00, 4.131E-009,  -134.79,    21.3101,   -16.00,    21.3101,  -136.00,    21.3101,   104.00,          0,     0.00, 4.11366E-009,    45.74
Line.SUB3_SUB4,     27.526,   162.56,     27.526,    42.56,     27.526,   -77.44,          0,     0.00, 5.40249E-009,  -137.56,     27.524,   -17.43,     27.524,  -137.43,     27.524,   102.57,          0,     0.00, 5.46062E-009,    42.72
Line.SUB4_MAIN,    35.6729,   161.73,    35.6729,    41.73,    35.6729,   -78.27,          0,     0.00, 6.86454E-009,  -139.00,    35.6708,   -18.26,    35.6708,  -138.26,    35.6708,   101.74,          0,     0.00, 6.84738E-009,    41.27
Load.HOSTEL1,    108.391,   -14.32,    108.391,  -134.32,    108.391,   105.68, 2.11527E-008,  -134.32,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.HOSTEL2,    119.931,    -9.74,    119.931,  -129.74,    119.931,   110.26, 2.34048E-008,  -129.74,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LAB1,    166.382,   -18.72,    166.382,  -138.72,    166.382,   101.28, 3.24698E-008,  -138.72,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LAB2,    139.361,   -19.58,    139.361,  -139.58,    139.361,   100.42, 2.71965E-008,  -139.58,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.CANTEEN,    85.3954,   -22.73,    85.3954,  -142.73,    85.3954,    97.27, 1.66651E-008,  -142.73,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.GYM,    70.7489,   -21.92,    70.7489,  -141.92,    70.7489,    98.08, 1.38068E-008,  -141.92,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.ADMIN,    100.203,   -23.52,    100.203,  -143.52,    100.203,    96.48, 1.95548E-008,  -143.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.BLOCKC,    104.018,   -18.75,    104.018,  -138.75,    104.018,   101.25, 2.02992E-008,  -138.75,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
