Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.SUB1A, 30.22975, 435.5506, 30.22975, 435.5506, 0, 0
Transformer.SUB1B, 30.22975, 435.5506, 30.22975, 435.5506, 0, 0
Transformer.SUB2A, 43.43174, 625.5778, 43.43174, 625.5778, 0, 0
Transformer.SUB2B, 43.43174, 625.5778, 43.43174, 625.5778, 0, 0
Transformer.SUB3A, 8.849959, 128.8157, 8.849959, 128.8157, 0, 0
Transformer.SUB3B, 8.849959, 128.8157, 8.849959, 128.8157, 0, 0
Transformer.SUB4A, 32.24153, 464.2199, 32.24153, 464.2199, 0, 0
Transformer.SUB4B, 32.24153, 464.2199, 32.24153, 464.2199, 0, 0
Line.SUB1_SUB2, 4.995899, -129.1524, 4.995899, -129.1524, 0, 0
Line.SUB2_SUB3, 27.24966, -129.1644, 27.24966, -129.1644, 0, 0
Line.SUB3_SUB4, 45.45756, -129.1834, 45.45756, -129.1834, 0, 0
Line.SUB4_MAIN, 76.349, -129.2079, 76.349, -129.2079, 0, 0
