
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus     6.351          0  3.104E-009  4.887E-008 4.131E-010 6.505E-009
xfmr1_pri         0          0          0          0         0         0
xfmr1_sec         0          0          0          0         0         0
xfmr2_pri         0          0          0          0         0         0
xfmr2_sec         0          0          0          0         0         0
xfmr3_pri         0          0          0          0         0         0
xfmr3_sec         0          0          0          0         0         0
xfmr4_pri         0          0          0          0         0         0
xfmr4_sec         0          0          0          0         0         0
xfmr5_pri         0          0          0          0         0         0
xfmr5_sec         0          0          0          0         0         0
xfmr6_pri         0          0          0          0         0         0
xfmr6_sec         0          0          0          0         0         0
xfmr7_pri         0          0          0          0         0         0
xfmr7_sec         0          0          0          0         0         0
xfmr8_pri         0          0          0          0         0         0
xfmr8_sec         0          0          0          0         0         0
sub1_hv           0          0          0          0         0         0
sub1_lv           0          0          0          0         0         0
sub2_hv           0          0          0          0         0         0
sub2_lv           0          0          0          0         0         0
sub3_hv           0          0          0          0         0         0
sub3_lv           0          0          0          0         0         0
sub4_hv           0          0          0          0         0         0
sub4_lv           0          0          0          0         0         0
